id,price_old,price,min_days
23577641,460.5,off,
26834838,921.0,off,
29348618,497.34,off,
42481846,460.5,off,
768166080886225818,689.83,off,
784911271007714043,920.08,off,
784920710695033653,920.08,off,
785216551141182097,4604.08,off,
822129597692034556,460.5,off,
972245040384955046,594.97,off,
1028901013624326619,527.73,off,
1037587471311070365,921.0,off,
1051348035413820667,4605.0,off,
1055816804424836603,689.83,off,
1055872351874873881,461.42,off,
1055876883506505742,438.4,off,
1076706402995462466,5702.83,off,
1076714426144015707,6631.2,off,
1076718205584538434,3837.81,off,
1094695640825752355,736.8,off,
1096864659808291376,736.8,off,
1107010173310301397,459.58,off,
1110096779777720512,921.0,off,
1110129435007254115,921.0,off,
1113881739860122587,736.8,off,
1116496456397117417,921.0,off,
17351091,3418.75,off,
33358472,443.92,off,
37477151,436.55,off,
39935326,921.0,off,
40324952,655.75,off,
48927936,851.93,off,
49925050,880.48,off,
634350142292059014,501.95,off,
784939857285331612,920.08,off,
784948722825211188,920.08,off,
826148245616441297,1223.09,off,
826148327560731191,1223.09,off,
826148438024304929,1223.09,off,
826148843308781489,913.63,off,
826148941142452067,913.63,off,
826149030027096912,913.63,off,
826156924986565617,611.54,off,
826156968686787206,611.54,off,
826157130097355096,611.54,off,
925268777238532933,414.45,off,
925310934731735447,3683.08,off,
925322341171061162,511.16,off,
925329504904638476,7162.62,off,
925330690556673932,903.5,off,
925337479057736068,7162.62,off,
932430995367734714,414.45,off,
937589448772226544,1842.0,off,
1000514559749599628,3526.51,off,
1000514617093178107,3499.8,off,
1000609973659756390,3526.51,off,
1000610034026907635,3499.8,off,
1004235066722434327,1844.76,off,
1004235127472794984,1897.26,off,
1004235184098048783,2068.57,off,
1004246318690613635,3425.2,off,
1004246374538409460,3425.2,off,
1004246442101872574,3499.8,off,
1004246499659342839,3499.8,off,
1000708700626292380,460.5,off,
1000724890561712082,3499.8,off,
1000728762907117348,3425.2,off,
1003686021532896577,682.46,off,
1010136651361079479,16998.9,off,
1010145804508007171,5449.56,off,
1016049355890427557,583.91,off,
1018158701806120458,460.5,off,
1024407537860461478,1399.92,off,
1024408567288967991,1369.53,off,
1024573920687805362,1399.92,off,
1024574006968136674,1399.92,off,
1024577278003300083,2799.84,off,
1030409545166284581,4049.64,off,
1030409644148338784,2925.1,off,
1030358474854401483,3499.8,off,
1045497904845919562,659.44,off,
5556870,828.9,off,
9554243,919.16,off,
44470530,460.5,off,
50205886,582.99,off,
762081127129344930,742.33,off,
762123952727099891,626.28,off,
762126184705334725,646.54,off,
762129712257348658,414.45,off,
767125674270650986,620.75,off,
767180368560501979,975.34,off,
819371831521018241,582.99,off,
905520155202273079,460.5,off,
930295645581676074,1457.02,off,
22663737,732.2,off,
33572948,1105.2,off,
34384502,921.0,off,
49142880,921.0,off,
613821144767439549,911.79,off,
614832199814033172,635.49,off,
616468658949136242,460.5,off,
627402365915131918,543.39,off,
649687061568283811,3684.0,off,
706230570863830788,451.29,off,
706358749757893809,451.29,off,
725885490409940773,868.5,off,
744647561125747745,868.5,off,
746302255412535245,487.21,off,
774479538986397027,478.92,off,
805672281761143192,506.55,off,
837025994145768087,432.87,off,
